ID;NAME;Lat;Lon;ADMIN;LOCAL;DATE;FRONT;WHOLE;PLACE;POSITION;YEAR;PERSON;GENDER;DEATH;depth;width;height;DESCRIPTION;TYPE
108;Кирменское кладбище. Надгробие 2;55.65320;51.13998;Мамадышский;Средние Кирмени;14;нет;нет;кладбище;вертикаль;;;;;18;48;56;;врезной
109;Кирменское кладбище. Надгробие 3;55.65318;51.13998;Мамадышский;Средние Кирмени;14;да;да;кладбище;вертикаль;;;;;13;49;60;;врезной
110;Кирменское кладбище. Надгробие 4;55.66318;51.13996;Мамадышский;Средние Кирмени;14;да;нет;кладбище;вертикаль;;;;;16;53;52;;врезной
111;Кирменское кладбище. Надгробие 5;55.65322;51.14019;Мамадышский;Средние Кирмени;14;да;да;кладбище;вертикаль;;;;;18;49;83;;врезной
112;Кирменское кладбище. Надгробие 6;55.65323;51.14014;Мамадышский;Средние Кирмени;14;нет;нет;кладбище;вертикаль;;;;;17;43;50;;врезной
113;Кирменское кладбище. Надгробие 7;55.65356;51.14118;Мамадышский;Средние Кирмени;14;да;да;кладбище;вертикаль;;;;;20;49;65;;врезной
114;Кирменское кладбище. Надгробие 8;55.65347;51.14127;Мамадышский;Средние Кирмени;14;нет;да;кладбище;вертикаль;;;;;14;30;65;;врезной
115;Кирменское кладбище. Надгробие 9;55.65311;51.14106;Мамадышский;Средние Кирмени;14;да;да;кладбище;вертикаль;;;;;23;45;90;;врезной
116;Кирменское кладбище. Надгробие 10;55.65313;51.14110;Мамадышский;Средние Кирмени;14;да;нет;кладбище;горизонталь;;;;;10;39;62;;врезной
117;Кирменское кладбище. Надгробие 11;55.65319;51.14065;Мамадышский;Средние Кирмени;14;да;нет;кладбище;вертикаль;;;;;10;46;53;;врезной
118;Кирменское кладбище. Надгробие 12;55.65314;51.14004;Мамадышский;Средние Кирмени;14;да;да;кладбище;вертикаль;;;;;13;56;93;;врезной
119;Уразбахтинское надгробие;55.58346;51.12790;Мамадышский;Уразбахтино;14;нет;нет;отдельно;вертикаль;;;;;18;54;49;;врезной
120;Нижнеякинское кладбище. Надгробие 1;55.63739;51.03891;Мамадышский;Нижние Яки;14;да;да;отдельно;вертикаль;;;;;16;62;105;;врезной
121;Нижнеякинское кладбище. Надгробие 2;55.63731;51.03882;Мамадышский;Нижние Яки;14;да;да;отдельно;вертикаль;;;;;16;50;105;;врезной
122;Нижнеякинское кладбище. Надгробие 3;55.63741;51.03909;Мамадышский;Нижние Яки;14;да;нет;отдельно;вертикаль;;;;;9;69;80;;
123;Берсут-Сукачинское надгробие;55.68314;50.81952;Мамадышский;Берсут-Сукаче;16;да;да;отдельно;вертикаль;;;;;18;48;113;;
124;Большеберезинское надгробие 1;56.21982;49.27311;Атнинский;Большие Берези;16;да;да;кладбище;вертикаль;;;;;23;50;102;;
125;Большеберезинское надгробие 2;56.21982;49.27311;Атнинский;Большие Берези;16;да;нет;кладбище;вертикаль;;;;;15;45;45;;
